[2026-01-26 15:03:37] [INFO] 📋 基准价格设置: $87,940.60
[2026-01-26 15:03:37] [INFO] 🚀 启动BTC 15分钟双向策略
[2026-01-26 15:03:37] [INFO] ============================================================
[2026-01-26 15:03:37] [INFO] 📊 策略参数:
[2026-01-26 15:03:37] [INFO]    交易时段: 0:00-24:00 (北京时间)
[2026-01-26 15:03:37] [INFO]    基准价格: $87,940.60 (入参设置)
[2026-01-26 15:03:37] [INFO]    价格阈值: ±$30 (缓冲: $30)
[2026-01-26 15:03:37] [INFO]    买入窗口: 区间开始5分钟后 至 结束前1分钟
[2026-01-26 15:03:37] [INFO]    卖出窗口: 无限制 (任何时间可卖出)
[2026-01-26 15:03:37] [INFO]    交易频次: 每15分钟区间最多1次交易 (严格限制)
[2026-01-26 15:03:37] [INFO]    入场概率: 60.0% (双向检测)
[2026-01-26 15:03:37] [INFO]    止盈概率: 90.0%
[2026-01-26 15:03:37] [INFO]    止损概率: 55.00000000000001%
[2026-01-26 15:03:37] [INFO]    特殊止盈: 85.0% + 30秒横盘
[2026-01-26 15:03:37] [INFO]    交易金额: $1.0
[2026-01-26 15:03:37] [INFO]    价格监控: 每分钟显示与基准价格差额
[2026-01-26 15:03:37] [INFO] ============================================================
[2026-01-26 15:03:37] [INFO] 🚀 启动BTC价格监控
[2026-01-26 15:03:37] [INFO] 📊 [15:03] BTC: $87,940.60 | 基准: $87,940.60 | 差额: ➡️$0.00 | 阈值$30: ❌ 不满足
[2026-01-26 15:03:37] [INFO] 📅 新的15分钟区间: 15:00-15:15
[2026-01-26 15:03:37] [INFO] 📊 区间开始价格: $87,940.60
[2026-01-26 15:03:37] [INFO] 📊 基准价格: $87,940.60
[2026-01-26 15:03:37] [INFO] 🆕 新区间可交易: 15:00-15:15
[2026-01-26 15:03:37] [INFO] 📈 今日已交易区间数: 0
[2026-01-26 15:03:37] [INFO] 🎯 开始执行BTC 15分钟双向策略
[2026-01-26 15:03:37] [INFO] 市场ID: 1263608
[2026-01-26 15:03:38] [INFO] 📊 市场: Bitcoin Up or Down - January 26, 2:00AM-2:15AM ET
[2026-01-26 15:03:38] [INFO] 🎲 YES Token: 46428331476381582584292294284285447776410443652090188261006495442337848325742 (Up)
[2026-01-26 15:03:38] [INFO] 🎲 NO Token: 30901674697727196324934997304678238595968036703088201150258097709080765530924 (Down)
[2026-01-26 15:03:39] [INFO] 📊 市场概率: YES=49.0% (0.490), NO=51.0% (0.510)
[2026-01-26 15:03:39] [INFO] ⏳ 买入限制: 距离可入场时间还有 81 秒 (需等待5分钟)
[2026-01-26 15:03:40] [INFO] 📊 市场概率: YES=49.0% (0.490), NO=51.0% (0.510)
[2026-01-26 15:03:40] [INFO] ⏳ 买入限制: 距离可入场时间还有 79 秒 (需等待5分钟)
[2026-01-26 15:03:42] [INFO] 📊 市场概率: YES=49.0% (0.490), NO=51.0% (0.510)
[2026-01-26 15:03:42] [INFO] ⏳ 买入限制: 距离可入场时间还有 78 秒 (需等待5分钟)
[2026-01-26 15:03:43] [INFO] 📊 市场概率: YES=48.0% (0.480), NO=52.0% (0.520)
[2026-01-26 15:03:43] [INFO] ⏳ 买入限制: 距离可入场时间还有 76 秒 (需等待5分钟)
[2026-01-26 15:03:45] [INFO] 📊 市场概率: YES=48.0% (0.480), NO=52.0% (0.520)
[2026-01-26 15:03:45] [INFO] ⏳ 买入限制: 距离可入场时间还有 75 秒 (需等待5分钟)
[2026-01-26 15:03:47] [INFO] 📊 市场概率: YES=46.0% (0.460), NO=54.0% (0.540)
[2026-01-26 15:03:47] [INFO] ⏳ 买入限制: 距离可入场时间还有 73 秒 (需等待5分钟)
[2026-01-26 15:03:48] [INFO] 📊 市场概率: YES=46.0% (0.460), NO=54.0% (0.540)
[2026-01-26 15:03:48] [INFO] ⏳ 买入限制: 距离可入场时间还有 71 秒 (需等待5分钟)
[2026-01-26 15:03:50] [INFO] 📊 市场概率: YES=46.0% (0.460), NO=54.0% (0.540)
[2026-01-26 15:03:50] [INFO] ⏳ 买入限制: 距离可入场时间还有 69 秒 (需等待5分钟)
[2026-01-26 15:03:52] [INFO] 📊 市场概率: YES=53.0% (0.530), NO=47.0% (0.470)
[2026-01-26 15:03:52] [INFO] ⏳ 买入限制: 距离可入场时间还有 68 秒 (需等待5分钟)
[2026-01-26 15:03:54] [INFO] 📊 市场概率: YES=45.0% (0.450), NO=55.0% (0.550)
[2026-01-26 15:03:54] [INFO] ⏳ 买入限制: 距离可入场时间还有 65 秒 (需等待5分钟)
[2026-01-26 15:03:56] [INFO] 📊 市场概率: YES=54.0% (0.540), NO=46.0% (0.460)
[2026-01-26 15:03:56] [INFO] ⏳ 买入限制: 距离可入场时间还有 64 秒 (需等待5分钟)
[2026-01-26 15:03:58] [INFO] 📊 市场概率: YES=52.0% (0.520), NO=48.0% (0.480)
[2026-01-26 15:03:58] [INFO] ⏳ 买入限制: 距离可入场时间还有 62 秒 (需等待5分钟)
[2026-01-26 15:03:59] [INFO] 📊 市场概率: YES=52.0% (0.520), NO=48.0% (0.480)
