id,question,event_id,market_type,outcome_prices,volume,liquidity,active,closed,created_at,last_trade_price,spread
market_event_002_001,Market question 1 for event event_002,event_002,Scalar,"['0.434', '0.566']",3404934,414163,True,False,2025-06-05T13:43:24.896138,0.434,0.0132
market_event_002_002,Market question 2 for event event_002,event_002,Multiple Choice,"['0.701', '0.299']",2105901,450402,True,False,2025-05-19T13:43:24.896141,0.701,0.0402
market_event_002_003,Market question 3 for event event_002,event_002,Multiple Choice,"['0.297', '0.703']",4417937,804530,True,False,2025-03-15T13:43:24.896144,0.297,0.0406
market_event_002_004,Market question 4 for event event_002,event_002,Multiple Choice,"['0.492', '0.508']",4212780,979603,True,False,2025-07-23T13:43:24.896147,0.492,0.0016
market_event_002_005,Market question 5 for event event_002,event_002,Multiple Choice,"['0.645', '0.355']",2424227,823270,True,False,2025-02-28T13:43:24.896150,0.645,0.029
market_event_002_006,Market question 6 for event event_002,event_002,Categorical,"['0.822', '0.178']",2653023,631360,True,False,2025-05-21T13:43:24.896153,0.822,0.0644
market_event_002_007,Market question 7 for event event_002,event_002,Yes/No,"['0.767', '0.233']",3759720,947027,True,False,2025-09-07T13:43:24.896156,0.767,0.0534
market_event_002_008,Market question 8 for event event_002,event_002,Multiple Choice,"['0.798', '0.202']",4206841,737937,True,False,2025-12-11T13:43:24.896159,0.798,0.0596
market_event_011_001,Market question 1 for event event_011,event_011,Scalar,"['0.279', '0.721']",219229,166784,True,False,2025-07-15T13:43:24.896293,0.279,0.0442
market_event_011_002,Market question 2 for event event_011,event_011,Yes/No,"['0.503', '0.497']",2499999,338211,True,False,2026-01-01T13:43:24.896296,0.503,0.0006
market_event_011_003,Market question 3 for event event_011,event_011,Scalar,"['0.57', '0.43']",4632930,316194,True,False,2025-11-09T13:43:24.896299,0.57,0.014
market_event_011_004,Market question 4 for event event_011,event_011,Yes/No,"['0.391', '0.609']",3014193,740415,True,False,2025-04-25T13:43:24.896302,0.391,0.0218
