id,question,event_id,market_type,outcome_prices,volume,liquidity,active,closed,created_at,last_trade_price,spread
market_event_003_001,Market question 1 for event event_003,event_003,Scalar,"['0.848', '0.152']",3958911,623115,True,False,2025-11-05T13:43:24.896163,0.848,0.0696
market_event_003_002,Market question 2 for event event_003,event_003,Scalar,"['0.899', '0.101']",3663503,388247,True,False,2025-04-21T13:43:24.896166,0.899,0.0798
market_event_003_003,Market question 3 for event event_003,event_003,Multiple Choice,"['0.115', '0.885']",2003498,63532,True,False,2025-11-03T13:43:24.896169,0.115,0.077
market_event_007_001,Market question 1 for event event_007,event_007,Categorical,"['0.625', '0.375']",2302007,467918,True,False,2025-09-02T13:43:24.896225,0.625,0.025
market_event_007_002,Market question 2 for event event_007,event_007,Yes/No,"['0.573', '0.427']",3090543,354570,True,False,2025-08-06T13:43:24.896229,0.573,0.0146
market_event_007_003,Market question 3 for event event_007,event_007,Categorical,"['0.565', '0.435']",2772334,284700,True,False,2025-06-03T13:43:24.896232,0.565,0.013
market_event_008_001,Market question 1 for event event_008,event_008,Categorical,"['0.705', '0.295']",3503861,53426,True,False,2025-04-15T13:43:24.896235,0.705,0.041
market_event_008_002,Market question 2 for event event_008,event_008,Categorical,"['0.177', '0.823']",4494874,409809,True,False,2025-06-01T13:43:24.896238,0.177,0.0646
market_event_008_003,Market question 3 for event event_008,event_008,Categorical,"['0.505', '0.495']",4487239,296360,True,False,2025-12-17T13:43:24.896241,0.505,0.001
market_event_008_004,Market question 4 for event event_008,event_008,Yes/No,"['0.432', '0.568']",1616284,428437,True,False,2025-09-11T13:43:24.896244,0.432,0.0136
market_event_008_005,Market question 5 for event event_008,event_008,Yes/No,"['0.279', '0.721']",173327,436161,True,False,2025-05-10T13:43:24.896247,0.279,0.0442
market_event_008_006,Market question 6 for event event_008,event_008,Multiple Choice,"['0.388', '0.612']",1929840,321631,True,False,2025-04-12T13:43:24.896250,0.388,0.0224
market_event_008_007,Market question 7 for event event_008,event_008,Scalar,"['0.364', '0.636']",1556572,417138,True,False,2025-10-08T13:43:24.896254,0.364,0.0272
market_event_008_008,Market question 8 for event event_008,event_008,Categorical,"['0.221', '0.779']",985702,939003,True,False,2025-07-03T13:43:24.896257,0.221,0.0558
market_event_017_001,Market question 1 for event event_017,event_017,Scalar,"['0.386', '0.614']",1671570,269934,True,False,2026-01-09T13:43:24.896499,0.386,0.0228
market_event_017_002,Market question 2 for event event_017,event_017,Categorical,"['0.28', '0.72']",3537155,93724,True,False,2025-02-07T13:43:24.896502,0.28,0.044
market_event_017_003,Market question 3 for event event_017,event_017,Categorical,"['0.658', '0.342']",4021083,208779,True,False,2025-06-25T13:43:24.896505,0.658,0.0316
market_event_017_004,Market question 4 for event event_017,event_017,Categorical,"['0.374', '0.626']",4857465,399661,True,False,2025-10-19T13:43:24.896508,0.374,0.0252
market_event_025_001,Market question 1 for event event_025,event_025,Yes/No,"['0.662', '0.338']",2208782,93547,True,False,2025-09-06T13:43:24.896672,0.662,0.0324
market_event_025_002,Market question 2 for event event_025,event_025,Scalar,"['0.65', '0.35']",1448326,171146,True,False,2025-07-18T13:43:24.896675,0.65,0.03
market_event_025_003,Market question 3 for event event_025,event_025,Yes/No,"['0.312', '0.688']",1358815,717730,True,False,2025-08-31T13:43:24.896758,0.312,0.0376
market_event_025_004,Market question 4 for event event_025,event_025,Scalar,"['0.677', '0.323']",1853410,592049,True,False,2025-09-28T13:43:24.896820,0.677,0.0354
market_event_025_005,Market question 5 for event event_025,event_025,Multiple Choice,"['0.765', '0.235']",2844639,749876,True,False,2025-12-22T13:43:24.896824,0.765,0.053
market_event_025_006,Market question 6 for event event_025,event_025,Yes/No,"['0.15', '0.85']",3264091,119683,True,False,2025-11-07T13:43:24.896860,0.15,0.07
