id,question,event_id,market_type,outcome_prices,volume,liquidity,active,closed,created_at,last_trade_price,spread
market_event_005_001,Market question 1 for event event_005,event_005,Scalar,"['0.12', '0.88']",2461938,721310,True,False,2025-10-05T13:43:24.896200,0.12,0.076
market_event_005_002,Market question 2 for event event_005,event_005,Scalar,"['0.474', '0.526']",2529768,759434,True,False,2025-03-22T13:43:24.896204,0.474,0.0052
market_event_012_001,Market question 1 for event event_012,event_012,Categorical,"['0.134', '0.866']",1100622,948787,True,False,2025-03-19T13:43:24.896306,0.134,0.0732
market_event_012_002,Market question 2 for event event_012,event_012,Yes/No,"['0.305', '0.695']",754182,451758,True,False,2025-03-03T13:43:24.896310,0.305,0.039
market_event_012_003,Market question 3 for event event_012,event_012,Yes/No,"['0.506', '0.494']",1511593,729620,True,False,2025-11-30T13:43:24.896313,0.506,0.0012
market_event_012_004,Market question 4 for event event_012,event_012,Yes/No,"['0.64', '0.36']",887244,292777,True,False,2025-04-22T13:43:24.896316,0.64,0.028
market_event_012_005,Market question 5 for event event_012,event_012,Yes/No,"['0.793', '0.207']",3600699,852370,True,False,2025-03-04T13:43:24.896319,0.793,0.0586
market_event_012_006,Market question 6 for event event_012,event_012,Yes/No,"['0.339', '0.661']",1670674,299680,True,False,2025-12-19T13:43:24.896323,0.339,0.0322
market_event_012_007,Market question 7 for event event_012,event_012,Categorical,"['0.77', '0.23']",3240743,264845,True,False,2025-11-15T13:43:24.896327,0.77,0.054
market_event_016_001,Market question 1 for event event_016,event_016,Yes/No,"['0.675', '0.325']",3069492,491732,True,False,2025-09-15T13:43:24.896492,0.675,0.035
market_event_016_002,Market question 2 for event event_016,event_016,Yes/No,"['0.297', '0.703']",234547,266023,True,False,2025-10-07T13:43:24.896495,0.297,0.0406
market_event_020_001,Market question 1 for event event_020,event_020,Categorical,"['0.834', '0.166']",661590,175113,True,False,2025-04-24T13:43:24.896534,0.834,0.0668
market_event_020_002,Market question 2 for event event_020,event_020,Yes/No,"['0.473', '0.527']",4160719,241307,True,False,2025-10-19T13:43:24.896537,0.473,0.0054
market_event_020_003,Market question 3 for event event_020,event_020,Categorical,"['0.214', '0.786']",2974465,794566,True,False,2025-03-29T13:43:24.896540,0.214,0.0572
market_event_020_004,Market question 4 for event event_020,event_020,Yes/No,"['0.63', '0.37']",3630979,167015,True,False,2025-05-30T13:43:24.896543,0.63,0.026
market_event_020_005,Market question 5 for event event_020,event_020,Multiple Choice,"['0.768', '0.232']",977395,776549,True,False,2025-10-26T13:43:24.896546,0.768,0.0536
market_event_022_001,Market question 1 for event event_022,event_022,Multiple Choice,"['0.69', '0.31']",3863716,801588,True,False,2025-03-06T13:43:24.896577,0.69,0.038
