id,question,event_id,market_type,outcome_prices,volume,liquidity,active,closed,created_at,last_trade_price,spread
market_event_001_001,Market question 1 for event event_001,event_001,Multiple Choice,"['0.27', '0.73']",2200596,624063,True,False,2025-09-18T13:43:24.896019,0.27,0.046
market_event_001_002,Market question 2 for event event_001,event_001,Categorical,"['0.368', '0.632']",903003,839678,True,False,2025-09-20T13:43:24.896091,0.368,0.0264
market_event_001_003,Market question 3 for event event_001,event_001,Scalar,"['0.357', '0.643']",4025502,813991,True,False,2025-01-20T13:43:24.896120,0.357,0.0286
market_event_001_004,Market question 4 for event event_001,event_001,Yes/No,"['0.572', '0.428']",812653,894713,True,False,2025-09-06T13:43:24.896126,0.572,0.0144
market_event_001_005,Market question 5 for event event_001,event_001,Yes/No,"['0.875', '0.125']",1675088,364378,True,False,2025-06-21T13:43:24.896130,0.875,0.075
market_event_003_001,Market question 1 for event event_003,event_003,Scalar,"['0.848', '0.152']",3958911,623115,True,False,2025-11-05T13:43:24.896163,0.848,0.0696
market_event_003_002,Market question 2 for event event_003,event_003,Scalar,"['0.899', '0.101']",3663503,388247,True,False,2025-04-21T13:43:24.896166,0.899,0.0798
market_event_003_003,Market question 3 for event event_003,event_003,Multiple Choice,"['0.115', '0.885']",2003498,63532,True,False,2025-11-03T13:43:24.896169,0.115,0.077
market_event_004_001,Market question 1 for event event_004,event_004,Yes/No,"['0.509', '0.491']",4731756,158111,True,False,2026-01-01T13:43:24.896173,0.509,0.0018
market_event_004_002,Market question 2 for event event_004,event_004,Categorical,"['0.101', '0.899']",1565323,328021,True,False,2025-11-05T13:43:24.896176,0.101,0.0798
market_event_004_003,Market question 3 for event event_004,event_004,Categorical,"['0.316', '0.684']",1925471,247586,True,False,2025-10-16T13:43:24.896182,0.316,0.0368
market_event_004_004,Market question 4 for event event_004,event_004,Scalar,"['0.696', '0.304']",3115638,369339,True,False,2025-12-02T13:43:24.896185,0.696,0.0392
market_event_004_005,Market question 5 for event event_004,event_004,Multiple Choice,"['0.558', '0.442']",437479,929000,True,False,2025-06-18T13:43:24.896188,0.558,0.0116
market_event_004_006,Market question 6 for event event_004,event_004,Yes/No,"['0.148', '0.852']",464164,578194,True,False,2025-03-04T13:43:24.896193,0.148,0.0704
market_event_004_007,Market question 7 for event event_004,event_004,Multiple Choice,"['0.642', '0.358']",4359663,56837,True,False,2025-10-27T13:43:24.896196,0.642,0.0284
market_event_007_001,Market question 1 for event event_007,event_007,Categorical,"['0.625', '0.375']",2302007,467918,True,False,2025-09-02T13:43:24.896225,0.625,0.025
market_event_007_002,Market question 2 for event event_007,event_007,Yes/No,"['0.573', '0.427']",3090543,354570,True,False,2025-08-06T13:43:24.896229,0.573,0.0146
market_event_007_003,Market question 3 for event event_007,event_007,Categorical,"['0.565', '0.435']",2772334,284700,True,False,2025-06-03T13:43:24.896232,0.565,0.013
